crate	version	scope	declared_license	review_route	archive_sha256	archive_url	notice_files
getrandom	0.4.3	transitive	MIT OR Apache-2.0	MIT	300e883d756b2e4ec94e02791f39b04b522276138852cfc41d9fb7e904106099	https://crates.io/api/v1/crates/getrandom/0.4.3/download	LICENSE-APACHE; LICENSE-MIT
hashbrown	0.15.5	transitive	MIT OR Apache-2.0	MIT	9229cfe53dfd69f0609a49f65461bd93001ea1ef889cd5529dd176593f5338a1	https://crates.io/api/v1/crates/hashbrown/0.15.5/download	LICENSE-APACHE; LICENSE-MIT
hashbrown	0.17.1	transitive	MIT OR Apache-2.0	MIT	ed5909b6e89a2db4456e54cd5f673791d7eca6732202bbf2a9cc504fe2f9b84a	https://crates.io/api/v1/crates/hashbrown/0.17.1/download	LICENSE-APACHE; LICENSE-MIT
hashlink	0.10.0	transitive	MIT OR Apache-2.0	MIT	7382cf6263419f2d8df38c55d7da83da5c18aef87fc7a7fc1fb1e344edfe14c1	https://crates.io/api/v1/crates/hashlink/0.10.0/download	LICENSE-APACHE; LICENSE-MIT
heck	0.5.0	transitive	MIT OR Apache-2.0	MIT	2304e00983f87ffb38b55b444b5e3b60a884b5d30c0fca7d82fe33449bbe55ea	https://crates.io/api/v1/crates/heck/0.5.0/download	LICENSE-APACHE; LICENSE-MIT
hex	0.4.3	transitive	MIT OR Apache-2.0	MIT	7f24254aa9a54b5c858eaee2f5bccdb46aaf0e486a595ed5fd8f86ba55232a70	https://crates.io/api/v1/crates/hex/0.4.3/download	LICENSE-APACHE; LICENSE-MIT
hkdf	0.12.4	transitive	MIT OR Apache-2.0	MIT	7b5f8eb2ad728638ea2c7d47a21db23b7b58a72ed6a38256b8a1849f15fbbdf7	https://crates.io/api/v1/crates/hkdf/0.12.4/download	LICENSE-APACHE; LICENSE-MIT
hmac	0.12.1	transitive	MIT OR Apache-2.0	MIT	6c49c37c09c17a53d937dfbb742eb3a961d65a994e6bcdcf37e7399d0cc8ab5e	https://crates.io/api/v1/crates/hmac/0.12.1/download	LICENSE-APACHE; LICENSE-MIT
home	0.5.11	transitive	MIT OR Apache-2.0	MIT	589533453244b0995c858700322199b2becb13b627df2851f64a2775d024abcf	https://crates.io/api/v1/crates/home/0.5.11/download	LICENSE-APACHE; LICENSE-MIT
http	1.4.2	transitive	MIT OR Apache-2.0	MIT	6970f50e31d6fc17d3fa27329444bfa74e196cf62e95052a3f6fee181dba6425	https://crates.io/api/v1/crates/http/1.4.2/download	LICENSE-APACHE; LICENSE-MIT
http-body	1.0.1	transitive	MIT	MIT	1efedce1fb8e6913f23e0c92de8e62cd5b772a67e7b3946df930a62566c93184	https://crates.io/api/v1/crates/http-body/1.0.1/download	LICENSE
